ID,name,type,age,task,position,representation
TH,Thomas Hitzlsperger,1,1,1,1,5
TK,Tobias Keller,1,1,1,2,2
SH,Stefan Heim,1,2,1,2,NA
OS,Oliver Schraft,1,2,1,2,3
CV,Claus Vogt,1,2,2,3,3
WP,Wilfried Porth,1,3,2,3,2
RA,Rainer Adrion,1,3,2,3,5
HJ,Hartmut Jenner,1,2,2,3,NA
FR,Franz Reiner,1,2,2,3,NA
BS,Dr. Bertram Sugg,1,2,2,3,3
VFB,VFB Stuttgart ,0,NA,3,NA,NA
PV,Präsidium VfB,0,NA,3,NA,NA
NZ,Nachwuchsleistungszentrum VfB,0,NA,3,NA,NA
FCB,FC Bayer München,0,NA,3,NA,NA
AV,Aston Villa,0,NA,3,NA,NA
F,Fernsehsender,0,NA,3,NA,NA
DAF,Deutscha Akademie für Fußballkultur,0,NA,3,NA,NA
FIFA,FIFA,0,NA,3,NA,NA
VFLW,VfL Wolfsburg,0,NA,3,NA,NA
KCM,Komission Clubmedien,0,NA,3,NA,NA
GL,Geschäftsleitung ,0,NA,3,NA,NA
RB,Robert Bosch GmbH,0,NA,4,NA,NA
IH,Intesia Group Holding GmbH,0,NA,4,NA,NA
MT,Metro Group,0,NA,4,NA,NA
FCPF,FC Play Fair Verein,0,NA,4,NA,NA
DAG,Daimler AG,0,NA,4,NA,NA
SWM,Südwestmetall,0,NA,4,NA,NA
MFT,Mitsubishi Fuso Truck and Bus Corporation,0,NA,4,NA,NA
MBAG,Mercedes-Benz AG,0,NA,4,NA,NA
DTAG,Daimler Truck AG,0,NA,4,NA,NA
DFB,Deutscher Fußballbund,0,NA,4,NA,NA
HEV,11 hilft e.V.,0,NA,4,NA,NA
KSE,Alfred Kärcher SE & Co. KG,0,NA,4,NA,NA
DFCAG,Daimler Financial Services AG,0,NA,4,NA,NA
MBBAG,Mercedes-Benz Bank AG,0,NA,4,NA,NA
FCCG,Fancluc Courage Gerlingen,0,NA,4,NA,NA
MVV,Mitgliederausschuss des VfB Vereinsentsicklung,0,NA,3,NA,NA